Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 2.08 ms | MediaPipe: 27.46 ms | Show: 0.00 ms
Capture: 1.95 ms | MediaPipe: 39.01 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 35.12 ms | Show: 0.00 ms
Capture: 2.31 ms | MediaPipe: 32.69 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 38.21 ms | Show: 0.00 ms
Capture: 3.09 ms | MediaPipe: 41.57 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 36.34 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 34.65 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 32.14 ms | Show: 0.00 ms
Capture: 3.05 ms | MediaPipe: 28.68 ms | Show: 6.03 ms
Capture: 2.00 ms | MediaPipe: 70.53 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 82.76 ms | Show: 0.00 ms

FPS: 19 | Hand FPS: 2 | No-Hand FPS: 17

Capture: 2.01 ms | MediaPipe: 75.36 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 73.45 ms | Show: 1.00 ms
Capture: 2.11 ms | MediaPipe: 86.51 ms | Show: 0.00 ms
Capture: 2.91 ms | MediaPipe: 69.44 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 79.17 ms | Show: 0.00 ms
Capture: 2.20 ms | MediaPipe: 79.11 ms | Show: 0.65 ms
Capture: 1.38 ms | MediaPipe: 76.18 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 86.99 ms | Show: 1.94 ms
Capture: 2.00 ms | MediaPipe: 72.60 ms | Show: 0.00 ms
Capture: 1.86 ms | MediaPipe: 81.18 ms | Show: 0.00 ms
Capture: 2.32 ms | MediaPipe: 92.90 ms | Show: 0.00 ms

FPS: 11 | Hand FPS: 11 | No-Hand FPS: 0

Capture: 2.00 ms | MediaPipe: 72.55 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 87.18 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 75.61 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 65.45 ms | Show: 1.00 ms
Capture: 2.57 ms | MediaPipe: 72.19 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 81.13 ms | Show: 0.00 ms
Capture: 2.03 ms | MediaPipe: 66.87 ms | Show: 0.00 ms
Capture: 3.04 ms | MediaPipe: 63.49 ms | Show: 0.00 ms
Capture: 2.49 ms | MediaPipe: 59.00 ms | Show: 0.00 ms
Capture: 2.84 ms | MediaPipe: 74.62 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 85.88 ms | Show: 0.00 ms
Capture: 1.98 ms | MediaPipe: 103.91 ms | Show: 0.00 ms

FPS: 12 | Hand FPS: 12 | No-Hand FPS: 0

Capture: 3.07 ms | MediaPipe: 77.96 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 44.50 ms | Show: 0.00 ms
Capture: 2.67 ms | MediaPipe: 34.71 ms | Show: 0.00 ms
Capture: 1.94 ms | MediaPipe: 58.98 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 48.25 ms | Show: 0.00 ms
Capture: 3.98 ms | MediaPipe: 47.90 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 38.37 ms | Show: 1.00 ms
Capture: 1.96 ms | MediaPipe: 37.30 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 40.29 ms | Show: 1.00 ms
Capture: 3.00 ms | MediaPipe: 33.39 ms | Show: 0.00 ms
Capture: 1.87 ms | MediaPipe: 37.28 ms | Show: 1.01 ms
Capture: 2.03 ms | MediaPipe: 39.40 ms | Show: 0.00 ms
