Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 0.00 ms | MediaPipe: 32.22 ms | Show: 0.00 ms
Capture: 1.08 ms | MediaPipe: 35.18 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 49.20 ms | Show: 0.00 ms
Capture: 1.62 ms | MediaPipe: 47.38 ms | Show: 0.00 ms
Capture: 1.04 ms | MediaPipe: 42.64 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 36.39 ms | Show: 0.00 ms
Capture: 0.90 ms | MediaPipe: 30.70 ms | Show: 1.00 ms
Capture: 0.45 ms | MediaPipe: 26.45 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 23.51 ms | Show: 0.00 ms
Capture: 0.86 ms | MediaPipe: 38.46 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 32.22 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 37.71 ms | Show: 0.00 ms
Capture: 1.06 ms | MediaPipe: 44.29 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 48.72 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 68.60 ms | Show: 0.00 ms
Capture: 1.27 ms | MediaPipe: 50.39 ms | Show: 0.00 ms
Capture: 3.14 ms | MediaPipe: 72.85 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 46.07 ms | Show: 0.00 ms
Capture: 0.24 ms | MediaPipe: 40.23 ms | Show: 1.00 ms
Capture: 1.00 ms | MediaPipe: 32.45 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 35.33 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 45.53 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 32.35 ms | Show: 1.00 ms
Capture: 0.49 ms | MediaPipe: 28.82 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 34.30 ms | Show: 0.00 ms
Capture: 0.60 ms | MediaPipe: 30.97 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 38.98 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 38.15 ms | Show: 0.00 ms
Capture: 3.26 ms | MediaPipe: 48.58 ms | Show: 0.00 ms
Capture: 1.05 ms | MediaPipe: 38.50 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 40.27 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 36.76 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 26.73 ms | Show: 0.00 ms
Capture: 0.95 ms | MediaPipe: 31.36 ms | Show: 1.01 ms
Capture: 0.00 ms | MediaPipe: 30.89 ms | Show: 0.00 ms
Capture: 0.57 ms | MediaPipe: 28.33 ms | Show: 1.00 ms
Capture: 0.67 ms | MediaPipe: 40.72 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 32.03 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 36.31 ms | Show: 0.00 ms
Capture: 0.54 ms | MediaPipe: 32.89 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 41.26 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 43.06 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 34.97 ms | Show: 1.32 ms
Capture: 0.00 ms | MediaPipe: 34.62 ms | Show: 0.56 ms
Capture: 0.00 ms | MediaPipe: 30.12 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 29.93 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 28.72 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 32.29 ms | Show: 0.00 ms
Capture: 0.97 ms | MediaPipe: 43.01 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 34.43 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 28.87 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 35.63 ms | Show: 0.00 ms
Capture: 0.98 ms | MediaPipe: 43.44 ms | Show: 0.00 ms
Capture: 0.98 ms | MediaPipe: 45.49 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 43.34 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 44.81 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 39.15 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 35.98 ms | Show: 0.00 ms
Capture: 0.09 ms | MediaPipe: 29.74 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 26.21 ms | Show: 0.00 ms
Capture: 0.97 ms | MediaPipe: 29.02 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 33.31 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 40.31 ms | Show: 0.00 ms
Capture: 2.33 ms | MediaPipe: 42.84 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 33.55 ms | Show: 0.00 ms
Capture: 0.97 ms | MediaPipe: 34.51 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 27.52 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 31.28 ms | Show: 0.00 ms
Capture: 0.95 ms | MediaPipe: 33.34 ms | Show: 1.00 ms
Capture: 1.00 ms | MediaPipe: 37.40 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 31.11 ms | Show: 1.04 ms
Capture: 0.00 ms | MediaPipe: 29.51 ms | Show: 0.00 ms
